"player_id","cards","updated_at","item_cards"
17,"[""sac001"", ""iar001"", ""cur001""]",2025-09-04 11:35:21.979 -0300,"[]"
15,"[""cur001"", ""cai001"", ""tupa001"", ""boiu001"", ""cabo001"", ""corpo001"", ""iar001"", ""bot001"", ""enc001"", ""sac001"", ""boi001"", ""cuc001"", ""mul001"", ""jac001""]",2025-09-04 11:18:23.378 -0300,"[""item_001"", ""item_002"", ""item_003"", ""item_004"", ""item_005"", ""item_006"", ""item_007"", ""item_008"", ""item_009"", ""item_010"", ""item_011"", ""item_012"", ""item_013"", ""item_014"", ""item_015"", ""item_016"", ""item_017"", ""item_018"", ""item_019"", ""item_020""]"
